DATE,M1
1978-01-31,87053.0
1978-02-28,83335.0
1978-03-31,82783.0
1978-04-30,80817.0
1978-05-31,75793.0
1978-06-30,74508.0
1978-07-31,74643.0
1978-08-31,75599.0
1978-09-30,76347.0
1978-10-31,77864.0
1978-11-30,80827.0
1978-12-31,85945.0
1979-01-31,85139.0
1979-02-28,82300.0
1979-03-31,83324.0
1979-04-30,83508.0
1979-05-31,80914.0
1979-06-30,81467.0
1979-07-31,83128.0
1979-08-31,84958.0
1979-09-30,87119.0
1979-10-31,89532.0
1979-11-30,95566.0
1979-12-31,106936.0
1980-01-31,103189.0
1980-02-29,97580.0
1980-03-31,96391.0
1980-04-30,95489.0
1980-05-31,95720.0
1980-06-30,98304.0
1980-07-31,101249.0
1980-08-31,104381.0
1980-09-30,108175.0
1980-10-31,113315.0
1980-11-30,120627.0
1980-12-31,131574.0
1981-01-31,137050.0
1981-02-28,130939.0
1981-03-31,128905.0
1981-04-30,126741.0
1981-05-31,126812.0
1981-06-30,129776.0
1981-07-31,132001.0
1981-08-31,135645.0
1981-09-30,139337.0
1981-10-31,125032.0
1981-11-30,158086.0
1981-12-31,163656.0
1982-01-31,163832.0
1982-02-28,157876.0
1982-03-31,156969.0
1982-04-30,155252.0
1982-05-31,155530.0
1982-06-30,156742.0
1982-07-31,158792.0
1982-08-31,161077.0
1982-09-30,164291.0
1982-10-31,169345.0
1982-11-30,176636.0
1982-12-31,188511.0
1983-01-31,198495.0
1983-02-28,192599.0
1983-03-31,192579.0
1983-04-30,196801.0
1983-05-31,195782.0
1983-06-30,197510.0
1983-07-31,201999.0
1983-08-31,203377.0
1983-09-30,208224.0
1983-10-31,213854.0
1983-11-30,225251.0
1983-12-31,216504.0
1984-01-31,216961.0
1984-02-29,207229.0
1984-03-31,206567.0
1984-04-30,207360.0
1984-05-31,208079.0
1984-06-30,210301.0
1984-07-31,217491.0
1984-08-31,224744.0
1984-09-30,232455.0
1984-10-31,244133.0
1984-11-30,259264.0
1984-12-31,284524.0
1985-01-31,292538.0
1985-02-28,287078.0
1985-03-31,282205.0
1985-04-30,276011.0
1985-05-31,271574.0
1985-06-30,263940.0
1985-07-31,267989.0
1985-08-31,268934.0
1985-09-30,271954.0
1985-10-31,273656.0
1985-11-30,283829.0
1985-12-31,301139.0
1986-01-31,300935.0
1986-02-28,288259.0
1986-03-31,285409.0
1986-04-30,288070.0
1986-05-31,292283.0
1986-06-30,299080.0
1986-07-31,305726.0
1986-08-31,312790.0
1986-09-30,321986.0
1986-10-31,336143.0
1986-11-30,355465.0
1986-12-31,385603.0
1987-01-31,395527.0
1987-02-28,374803.0
1987-03-31,372598.0
1987-04-30,372646.0
1987-05-31,377636.0
1987-06-30,382543.0
1987-07-31,390769.0
1987-08-31,401321.0
1987-09-30,414830.0
1987-10-31,427958.0
1987-11-30,439618.0
1987-12-31,448167.0
1988-01-31,463231.0
1988-02-29,457373.0
1988-03-31,451007.0
1988-04-30,466460.0
1988-05-31,482754.0
1988-06-30,494486.0
1988-07-31,513235.0
1988-08-31,534904.0
1988-09-30,534459.0
1988-10-31,526428.0
1988-11-30,528443.0
1988-12-31,549017.0
1989-01-31,560755.0
1989-02-28,533597.0
1989-03-31,525251.0
1989-04-30,531100.0
1989-05-31,532360.0
1989-06-30,526881.0
1989-07-31,526266.0
1989-08-31,529377.0
1989-09-30,530036.0
1989-10-31,540682.0
1989-11-30,563214.0
1989-12-31,583051.0
1990-01-31,602846.0
1990-02-28,566144.0
1990-03-31,565565.0
1990-04-30,574654.0
1990-05-31,578238.0
1990-06-30,580502.0
1990-07-31,592052.0
1990-08-31,607384.0
1990-09-30,632776.0
1990-10-31,643380.0
1990-11-30,666986.0
1990-12-31,695068.0
1991-01-31,725021.0
1991-02-28,715960.0
1991-03-31,706907.0
1991-04-30,716447.0
1991-05-31,728088.0
1991-06-30,728076.0
1991-07-31,746247.0
1991-08-31,766999.0
1991-09-30,797206.0
1991-10-31,824334.0
1991-11-30,854905.0
1991-12-31,863330.0
1992-01-31,923111.0
1992-02-29,881049.0
1992-03-31,887265.0
1992-04-30,919451.0
1992-05-31,945965.0
1992-06-30,966665.0
1992-07-31,1015721.0
1992-08-31,1052073.0
1992-09-30,1055636.0
1992-10-31,1103405.0
1992-11-30,1145278.0
1992-12-31,1173152.0
1993-01-31,1326440.0
1993-02-28,1323030.0
1993-03-31,1344403.0
1993-04-30,1395210.0
1993-05-31,1416610.0
1993-06-30,1401627.0
1993-07-31,1374996.0
1993-08-31,1360629.0
1993-09-30,1375500.0
1993-10-31,1414088.0
1993-11-30,1496884.0
1993-12-31,1628040.0
1994-01-31,1580050.0
1994-02-28,1543452.0
1994-03-31,1550877.0
1994-04-30,1594448.0
1994-05-31,1631443.0
1994-06-30,1654300.0
1994-07-31,1695095.0
1994-08-31,1750313.0
1994-09-30,1782648.0
1994-10-31,1824060.0
1994-11-30,1867810.0
1994-12-31,2054070.0
1995-01-31,2085666.0
1995-02-28,2001857.0
1995-03-31,1983570.0
1995-04-30,1999438.0
1995-05-31,2005043.0
1995-06-30,2005012.0
1995-07-31,2042589.0
1995-08-31,2235400.0
1995-09-30,2250000.0
1995-10-31,2288604.0
1995-11-30,2342803.0
1995-12-31,2398733.0
1996-01-31,2519500.0
1996-02-29,2525560.0
1996-03-31,2390900.0
1996-04-30,2414500.0
1996-05-31,2446300.0
1996-06-30,2460000.0
1996-07-31,2507800.0
1996-08-31,2572945.0
