Date,Open,High,Low,Close,Volume
2013-01-04,1.7409999999999999,1.771,1.631,1.651,152619831.0
2013-01-07,1.641,1.681,1.641,1.661,72156901.0
2013-01-08,1.651,1.6909999999999998,1.641,1.681,65747259.0
2013-01-09,1.671,1.681,1.641,1.661,52240988.0
2013-01-10,1.661,1.681,1.651,1.661,42765961.0
2013-01-11,1.661,1.671,1.601,1.611,40366235.0
2013-01-14,1.601,1.661,1.601,1.651,58829128.0
2013-01-15,1.651,1.681,1.651,1.671,44576287.0
2013-01-16,1.661,1.671,1.631,1.661,32769878.0
2013-01-17,1.661,1.671,1.631,1.641,30897386.0
2013-01-18,1.651,1.671,1.641,1.661,51256644.0
2013-01-21,1.661,1.671,1.651,1.661,34654571.0
2013-01-22,1.661,1.671,1.621,1.621,51813515.0
2013-01-23,1.631,1.651,1.611,1.641,32214906.0
2013-01-24,1.631,1.671,1.601,1.621,45743807.0
2013-01-25,1.621,1.631,1.581,1.591,29806962.0
2013-01-28,1.601,1.621,1.591,1.621,24936454.0
2013-01-29,1.621,1.631,1.601,1.611,44965997.0
2013-01-30,1.621,1.651,1.591,1.631,63362127.0
2013-01-31,1.611,1.611,1.551,1.571,111003953.0
2013-02-01,1.561,1.591,1.551,1.581,42328172.0
2013-02-04,1.581,1.591,1.561,1.591,40547035.0
2013-02-05,1.581,1.6909999999999998,1.561,1.661,163432835.0
2013-02-06,1.651,1.651,1.611,1.621,76667080.0
2013-02-07,1.621,1.651,1.611,1.631,69599163.0
2013-02-08,1.631,1.671,1.621,1.651,52983514.0
2013-02-18,1.651,1.661,1.631,1.641,36772377.0
2013-02-19,1.641,1.651,1.611,1.621,34335994.0
2013-02-20,1.631,1.651,1.621,1.641,34813462.0
2013-02-21,1.631,1.641,1.571,1.581,46996133.0
2013-02-22,1.591,1.591,1.571,1.581,18243689.0
2013-02-25,1.581,1.591,1.561,1.571,23509411.0
2013-02-26,1.561,1.571,1.511,1.521,36010316.0
2013-02-27,1.521,1.551,1.521,1.531,21739902.0
2013-02-28,1.541,1.571,1.521,1.561,28768633.0
2013-03-01,1.561,1.561,1.531,1.541,22226604.0
2013-03-04,1.541,1.551,1.501,1.511,40829286.0
2013-03-05,1.511,1.531,1.4909999999999999,1.521,26911374.0
2013-03-06,1.531,1.571,1.511,1.551,43463773.0
2013-03-07,1.541,1.551,1.521,1.531,22693002.0
2013-03-08,1.531,1.541,1.511,1.511,29341406.0
2013-03-11,1.511,1.521,1.4909999999999999,1.501,17139173.0
2013-03-12,1.501,1.521,1.4609999999999999,1.4809999999999999,30860037.0
2013-03-13,1.4709999999999999,1.4809999999999999,1.4509999999999998,1.4709999999999999,19153277.0
2013-03-14,1.4609999999999999,1.4709999999999999,1.4409999999999998,1.4509999999999998,16384540.0
2013-03-15,1.4609999999999999,1.4809999999999999,1.4509999999999998,1.4609999999999999,24629160.0
2013-03-18,1.4509999999999998,1.4609999999999999,1.431,1.431,22339220.0
2013-03-19,1.4409999999999998,1.4509999999999998,1.431,1.4409999999999998,13573563.0
2013-03-20,1.4409999999999998,1.4909999999999999,1.4409999999999998,1.4709999999999999,28495499.0
2013-03-21,1.4709999999999999,1.501,1.4609999999999999,1.4809999999999999,18538104.0
2013-03-22,1.4909999999999999,1.4909999999999999,1.4709999999999999,1.4809999999999999,11169359.0
2013-03-25,1.4809999999999999,1.4909999999999999,1.4709999999999999,1.4809999999999999,13724543.0
2013-03-26,1.4809999999999999,1.4909999999999999,1.4409999999999998,1.4509999999999998,20328106.0
2013-03-27,1.4509999999999998,1.4709999999999999,1.4409999999999998,1.4509999999999998,14327681.0
2013-03-28,1.4509999999999998,1.4509999999999998,1.411,1.421,29706220.0
2013-03-29,1.431,1.4509999999999998,1.431,1.4509999999999998,17139780.0
2013-04-01,1.4509999999999998,1.4609999999999999,1.4409999999999998,1.4409999999999998,15669323.0
2013-04-02,1.4409999999999998,1.4709999999999999,1.4409999999999998,1.4609999999999999,25925553.0
2013-04-03,1.4609999999999999,1.4709999999999999,1.4409999999999998,1.4509999999999998,12303197.0
2013-04-08,1.431,1.4409999999999998,1.411,1.4409999999999998,17517669.0
2013-04-09,1.4409999999999998,1.4609999999999999,1.431,1.4509999999999998,20365371.0
2013-04-10,1.4409999999999998,1.4609999999999999,1.4409999999999998,1.4609999999999999,14275860.0
2013-04-11,1.4609999999999999,1.4609999999999999,1.4409999999999998,1.4409999999999998,9894576.0
2013-04-12,1.4409999999999998,1.4509999999999998,1.431,1.4409999999999998,9887788.0
2013-04-15,1.4409999999999998,1.4509999999999998,1.421,1.421,15097453.0
2013-04-16,1.421,1.431,1.411,1.431,17627550.0
2013-04-17,1.431,1.431,1.411,1.431,14236436.0
2013-04-18,1.421,1.431,1.411,1.431,8994893.0
2013-04-19,1.431,1.4609999999999999,1.421,1.4509999999999998,29091077.0
2013-04-22,1.4409999999999998,1.4709999999999999,1.4409999999999998,1.4709999999999999,22948795.0
2013-04-23,1.4609999999999999,1.4709999999999999,1.421,1.431,19785004.0
2013-04-24,1.431,1.4609999999999999,1.421,1.4509999999999998,22902652.0
2013-04-25,1.4509999999999998,1.4609999999999999,1.4409999999999998,1.4409999999999998,18127839.0
2013-04-26,1.4509999999999998,1.4509999999999998,1.431,1.4509999999999998,14175798.0
2013-05-02,1.4409999999999998,1.4509999999999998,1.421,1.431,15865799.0
2013-05-03,1.4409999999999998,1.4609999999999999,1.431,1.4409999999999998,22181780.0
2013-05-06,1.4509999999999998,1.4709999999999999,1.4509999999999998,1.4609999999999999,19696490.0
2013-05-07,1.4509999999999998,1.4709999999999999,1.4509999999999998,1.4609999999999999,12642793.0
2013-05-08,1.4609999999999999,1.4709999999999999,1.4509999999999998,1.4709999999999999,20030175.0
2013-05-09,1.4609999999999999,1.4709999999999999,1.4509999999999998,1.4609999999999999,10781769.0
2013-05-10,1.4509999999999998,1.4709999999999999,1.4509999999999998,1.4709999999999999,17410232.0
2013-05-13,1.4709999999999999,1.4709999999999999,1.4509999999999998,1.4609999999999999,16884065.0
2013-05-14,1.4609999999999999,1.4609999999999999,1.421,1.4409999999999998,22472554.0
2013-05-15,1.431,1.4409999999999998,1.411,1.4409999999999998,31001742.0
2013-05-16,1.431,1.4509999999999998,1.421,1.4509999999999998,25318546.0
2013-05-17,1.4409999999999998,1.4709999999999999,1.4409999999999998,1.4709999999999999,37763662.0
2013-05-20,1.4709999999999999,1.4809999999999999,1.4609999999999999,1.4709999999999999,48710961.0
2013-05-21,1.4709999999999999,1.4809999999999999,1.4609999999999999,1.4809999999999999,35193465.0
2013-05-22,1.4709999999999999,1.4809999999999999,1.4609999999999999,1.4609999999999999,34061128.0
2013-05-23,1.4709999999999999,1.4709999999999999,1.4409999999999998,1.4409999999999998,38520878.0
2013-05-24,1.4509999999999998,1.4609999999999999,1.4409999999999998,1.4609999999999999,21970790.0
2013-05-27,1.4509999999999998,1.4609999999999999,1.4409999999999998,1.4509999999999998,20264736.0
2013-05-28,1.4509999999999998,1.4809999999999999,1.4409999999999998,1.4809999999999999,45542651.0
2013-05-29,1.4809999999999999,1.4809999999999999,1.4609999999999999,1.4709999999999999,32875380.0
2013-05-30,1.4709999999999999,1.4709999999999999,1.4509999999999998,1.4509999999999998,25748798.0
2013-05-31,1.4509999999999998,1.4609999999999999,1.4409999999999998,1.4509999999999998,25915891.0
2013-06-03,1.4409999999999998,1.4609999999999999,1.431,1.4409999999999998,25579358.0
2013-06-04,1.4409999999999998,1.4509999999999998,1.411,1.421,45669076.0
2013-06-05,1.421,1.431,1.401,1.411,34556650.0
2013-06-06,1.411,1.421,1.391,1.391,38381964.0
2013-06-07,1.401,1.411,1.351,1.361,46890379.0
2013-06-13,1.351,1.351,1.281,1.301,50863960.0
2013-06-14,1.301,1.311,1.291,1.301,26235489.0
2013-06-17,1.301,1.311,1.271,1.291,33180448.0
2013-06-18,1.291,1.291,1.251,1.281,42801127.0
2013-06-19,1.261,1.271,1.2309999999999999,1.271,41319483.0
2013-06-20,1.251,1.261,1.2009999999999998,1.2209999999999999,35378879.0
2013-06-21,1.2009999999999998,1.2109999999999999,1.181,1.2009999999999998,40227026.0
2013-06-24,1.2009999999999998,1.2009999999999998,1.091,1.101,64757357.0
2013-06-25,1.091,1.091,0.9309999999999999,1.031,101565081.0
2013-06-26,1.021,1.041,0.991,1.011,50586722.0
2013-06-27,1.021,1.061,1.011,1.011,46808362.0
2013-06-28,1.011,1.041,0.991,1.021,42401412.0
2013-07-01,1.011,1.031,1.001,1.021,32376318.0
2013-07-02,1.021,1.031,1.001,1.031,31843898.0
2013-07-03,1.021,1.021,0.991,1.021,35891001.0
2013-07-04,1.011,1.051,0.991,1.031,47143737.0
2013-07-05,1.031,1.051,1.021,1.031,37094406.0
