Date,Open,High,Low,Close,Volume
2013-01-04,3.228333,3.2769440000000003,3.033889,3.145,285152831.0
2013-01-07,3.117222,3.4019440000000003,3.110278,3.381111,210150795.0
2013-01-08,3.395,3.4019440000000003,3.228333,3.290833,151430552.0
2013-01-09,3.263055,3.346389,3.221389,3.283889,128960387.0
2013-01-10,3.2769440000000003,3.374167,3.214444,3.249167,126197735.0
2013-01-11,3.263055,3.304722,3.138055,3.165833,174120775.0
2013-01-14,3.151944,3.547778,3.131111,3.540833,250216183.0
2013-01-15,3.533889,3.596389,3.485278,3.5755550000000005,140939098.0
2013-01-16,3.554722,3.5755550000000005,3.3880550000000005,3.533889,135654262.0
2013-01-17,3.506111,3.533889,3.408889,3.471389,120526519.0
2013-01-18,3.5130550000000005,3.749167,3.5130550000000005,3.7005550000000005,173534881.0
2013-01-21,3.7144440000000003,3.867222,3.631111,3.860278,205867882.0
2013-01-22,3.8255550000000005,3.929722,3.679722,3.77,249060601.0
2013-01-23,3.721389,3.999167,3.7075,3.992222,203363307.0
2013-01-24,3.992222,4.249167,3.929722,4.061667,304905181.0
2013-01-25,4.047778,4.103333,3.9644440000000003,4.0825,130079817.0
2013-01-28,4.089444,4.5825,4.089444,4.547778,315832381.0
2013-01-29,4.568611,4.895,4.478333,4.728333,361063210.0
2013-01-30,4.735278,4.8255550000000005,4.624167,4.797778,241639786.0
2013-01-31,4.797778,4.846389,4.651944,4.7630550000000005,172906784.0
2013-02-01,4.721389,5.436667,4.672778,5.401944,362670464.0
2013-02-04,5.401944,5.839444,5.381111,5.610278,512477993.0
2013-02-05,5.499167,5.749167,5.478333,5.735278,346947217.0
2013-02-06,5.721389,5.874167,5.540833,5.728333,247862496.0
2013-02-07,5.693611,5.7005550000000005,5.068611,5.242222,572384251.0
2013-02-08,5.158889,5.235278,4.853333,4.908889,574655950.0
2013-02-18,5.0130550000000005,5.068611,4.811667,4.839444,351712969.0
2013-02-19,4.818611,4.992222,4.783889,4.922778,310641765.0
2013-02-20,4.936667,4.936667,4.645,4.818611,351481661.0
2013-02-21,4.783889,4.783889,4.276944,4.3880550000000005,585360981.0
2013-02-22,4.3880550000000005,4.415833,4.151944,4.2005550000000005,391087184.0
2013-02-25,4.256111,4.3880550000000005,4.186667,4.27,354146105.0
2013-02-26,4.172778,4.617222,4.110278,4.311667,676376092.0
2013-02-27,4.3255550000000005,4.526944,4.297778,4.429722,368180600.0
2013-02-28,4.540833,4.811667,4.353333,4.797778,472325989.0
2013-03-01,4.776944,4.8255550000000005,4.5130550000000005,4.672778,374031888.0
2013-03-04,4.4575,4.4575,4.131111,4.193611,381455272.0
2013-03-05,4.2005550000000005,4.7075,4.193611,4.686667,393978503.0
2013-03-06,4.721389,5.068611,4.624167,4.929722,484117026.0
2013-03-07,4.860278,5.047778,4.651944,4.818611,393726038.0
2013-03-08,4.8255550000000005,5.026944,4.756111,4.936667,329909581.0
2013-03-11,4.895,4.915833,4.645,4.7005550000000005,232264568.0
2013-03-12,4.679722,4.742222,4.235278,4.367222,407949557.0
2013-03-13,4.3880550000000005,4.499167,4.353333,4.395,243176536.0
2013-03-14,4.381111,4.5755550000000005,4.304722,4.4505550000000005,276041107.0
2013-03-15,4.408889,4.853333,4.353333,4.540833,375168009.0
2013-03-18,4.5130550000000005,4.686667,4.436667,4.5825,222540875.0
2013-03-19,4.5825,4.797778,4.533889,4.7630550000000005,227835152.0
2013-03-20,4.77,5.249167,4.77,5.242222,439106651.0
2013-03-21,5.242222,5.311667,5.103333,5.2005550000000005,247124548.0
2013-03-22,5.179722,5.276944,5.124167,5.172778,149485494.0
2013-03-25,5.228333,5.395,5.2075,5.242222,224682266.0
