CODES,DATES,SeqOpenPrice,SeqClosePrice,SeqHighPrice,SeqLowPrice,SeqAvgPrice,SeqRiseAndFall,SeqUpAndDowns,SeqTurnoverVolume,SeqTurnoverValue,SeqTurnoverRate,SeqPrevClosePrice
000060.SZ,2010-01-04,8.485587,8.548449,8.763502,8.386331,8.628636,1.174734,0.099256,17743104.0,504655869.82,1.734981,8.449193
000060.SZ,2010-01-05,8.617927,8.995099,9.143982,8.617927,8.925512,5.224926,0.44665,37227613.0,1092246027.79,3.640242,8.548449
000060.SZ,2010-01-06,8.945471,9.203535,9.501302,8.885917,9.329974,2.317226,0.208437,33907173.0,1036276463.1,3.315558,8.995099
000060.SZ,2010-01-07,9.541004,8.995099,9.70643,8.942162,9.374328,-2.264746,-0.208437,37136324.0,1139944812.84,3.631315,9.203535
000060.SZ,2010-01-08,8.912386,8.875992,8.952088,8.614619,8.79352,-1.324129,-0.119107,21865060.0,632790785.96,2.138039,8.995099
000060.SZ,2010-01-11,9.206844,8.889226,9.306099,8.687406,8.947634,0.1491,0.013234,14653039.0,430895157.13,1.432824,8.875992
000060.SZ,2010-01-12,8.81313,9.005024,9.120822,8.531906,8.816374,1.30268,0.115798,15624886.0,453274869.57,1.527854,8.889226
000060.SZ,2010-01-13,8.581534,8.131575,8.664247,8.025702,8.318786,-9.699576,-0.873449,48755460.0,1341060067.58,4.767474,9.005024
000060.SZ,2010-01-14,8.184511,8.224214,8.30031,7.976075,8.144109,1.139245,0.092639,20638844.0,556792342.93,2.018136,8.131575
000060.SZ,2010-01-15,8.194437,8.217597,8.234139,8.022394,8.11856,-0.080458,-0.006617,18111389.0,487208325.78,1.770993,8.224214
000060.SZ,2010-01-18,8.134884,8.148118,8.224214,8.019085,8.084102,-0.845489,-0.069479,18329224.0,491159272.57,1.792293,8.217597
000060.SZ,2010-01-19,8.174586,8.36648,8.449193,8.174586,8.354463,2.679911,0.218362,19892065.0,549293119.14,1.945113,8.148118
000060.SZ,2010-01-20,8.399565,7.913213,8.462427,7.820574,8.076149,-5.417657,-0.453267,27054979.0,724328708.94,2.645527,8.36648
000060.SZ,2010-01-21,7.906596,7.790798,7.913213,7.60552,7.712271,-1.546972,-0.122415,19982886.0,513013685.65,1.953994,7.913213
000060.SZ,2010-01-22,7.60552,7.456637,7.638606,7.324296,7.465127,-4.289169,-0.33416,20739201.0,516938289.86,2.027949,7.790798
000060.SZ,2010-01-25,7.423552,7.456637,7.615446,7.36069,7.489091,0.0,0.0,13764694.0,344091071.87,1.345958,7.456637
000060.SZ,2010-01-26,7.493031,7.215115,7.582361,7.0927,7.231845,-3.239019,-0.241522,13972287.0,338416688.03,1.366257,7.456637
000060.SZ,2010-01-27,7.191956,7.009987,7.274669,6.923965,7.022627,-2.843034,-0.205128,18161485.0,428396815.33,1.775891,7.215115
