CODES,DATES,SeqOpenPrice,SeqClosePrice,SeqHighPrice,SeqLowPrice,SeqAvgPrice,SeqRiseAndFall,SeqUpAndDowns,SeqTurnoverVolume,SeqTurnoverValue,SeqTurnoverRate,SeqPrevClosePrice
000090.SZ,2010-01-04,2.640981,2.535027,2.66747,2.508538,2.564443,-3.319304,-0.087034,8417109.0,99302838.92,1.930762,2.622061
000090.SZ,2010-01-05,2.561515,2.429072,2.561515,2.319333,2.423171,-4.179627,-0.105955,11972665.0,136780581.48,2.746354,2.535027
000090.SZ,2010-01-06,2.410152,2.474481,2.576652,2.376095,2.506378,1.869403,0.045409,10043624.0,116950896.24,2.30386,2.429072
000090.SZ,2010-01-07,2.474481,2.51989,2.60314,2.338254,2.465863,1.835097,0.045409,13977034.0,161256191.49,3.206127,2.474481
000090.SZ,2010-01-08,2.51989,2.705311,2.773425,2.489618,2.666101,7.358282,0.185421,24818820.0,299473374.32,5.693074,2.51989
000090.SZ,2010-01-11,2.640981,2.508538,2.644765,2.474481,2.545817,-7.273579,-0.196773,13332797.0,156640575.65,3.058348,2.705311
000090.SZ,2010-01-12,2.493402,2.652334,2.716663,2.478265,2.605897,5.732247,0.143796,13711148.0,163262556.9,3.145137,2.508538
000090.SZ,2010-01-13,2.538811,2.527459,2.58422,2.489618,2.528247,-4.708123,-0.124875,9749214.0,114086124.31,2.236327,2.652334
000090.SZ,2010-01-14,2.523674,2.58422,2.659902,2.512322,2.591119,2.24579,0.056761,8462125.0,100430450.17,1.941088,2.527459
000090.SZ,2010-01-15,2.625845,2.640981,2.762072,2.58422,2.693011,2.196463,0.056761,12203523.0,148120218.19,2.79931,2.58422
000090.SZ,2010-01-18,2.60314,2.784777,2.826402,2.569084,2.721807,5.444779,0.143796,12726905.0,155441250.9,2.919366,2.640981
000090.SZ,2010-01-19,2.792345,2.841538,2.977766,2.773425,2.880695,2.038275,0.056761,15208359.0,192134437.26,3.488575,2.784777
000090.SZ,2010-01-20,2.780993,3.151834,3.265357,2.780993,3.068056,10.919992,0.310296,30268785.0,397386893.11,6.943216,2.841538
000090.SZ,2010-01-21,3.132914,3.125346,3.242652,2.943709,3.078442,-0.840421,-0.026489,17362008.0,228415462.79,3.982591,3.151834
000090.SZ,2010-01-22,3.030743,2.902084,3.049664,2.678822,2.874613,-7.143581,-0.223262,15389815.0,194179522.43,3.530198,3.125346
000090.SZ,2010-01-25,2.746936,2.622061,2.932357,2.565299,2.744777,-9.649033,-0.280023,7138432.0,87619214.72,1.637452,2.902084
000090.SZ,2010-01-26,2.644765,2.33447,2.697743,2.171754,2.385974,-10.968136,-0.287591,9234412.0,104589952.89,2.118239,2.622061
000090.SZ,2010-01-27,2.262572,2.311765,2.391231,2.114992,2.246419,-0.972579,-0.022705,5978406.0,65507275.5,1.371359,2.33447
