CODES,DATES,SeqOpenPrice,SeqClosePrice,SeqHighPrice,SeqLowPrice,SeqAvgPrice,SeqRiseAndFall,SeqUpAndDowns,SeqTurnoverVolume,SeqTurnoverValue,SeqTurnoverRate,SeqPrevClosePrice
000402.SZ,2010-01-04,6.814262,6.44541,6.830656,6.437213,6.574413,-5.070382,-0.344262,61171723.0,725948291.92,2.55198,6.789672
000402.SZ,2010-01-05,6.461803,6.232295,6.502787,6.092951,6.225153,-3.306458,-0.213115,68973423.0,789144679.59,2.877453,6.44541
000402.SZ,2010-01-06,6.191312,6.265082,6.412623,6.125738,6.261721,0.52608,0.032787,45950395.0,527781603.65,1.916972,6.232295
000402.SZ,2010-01-07,6.224098,6.306066,6.478197,6.166721,6.302166,0.654159,0.040984,45785124.0,528142502.37,1.910077,6.265082
000402.SZ,2010-01-08,6.273279,6.412623,6.437213,6.232295,6.355844,1.68976,0.106557,34740420.0,403014213.71,1.449311,6.306066
000402.SZ,2010-01-11,6.51918,6.166721,6.576557,6.043771,6.245833,-3.83465,-0.245902,55600775.0,637547171.38,2.319569,6.412623
000402.SZ,2010-01-12,6.166721,6.273279,6.289672,5.94541,6.095368,1.727942,0.106557,58172675.0,656359341.85,2.426865,6.166721
000402.SZ,2010-01-13,5.99459,5.929016,6.076557,5.871639,5.967305,-5.487757,-0.344262,55749462.0,620308188.08,2.325772,6.273279
000402.SZ,2010-01-14,5.929016,5.99459,6.027377,5.822459,5.945569,1.105981,0.065574,34265693.0,380355829.5,1.429506,5.929016
000402.SZ,2010-01-15,6.002787,6.109344,6.174918,5.978197,6.107861,1.914294,0.114754,49630167.0,560731098.68,2.070486,5.99459
000402.SZ,2010-01-18,6.117541,6.273279,6.322459,6.076557,6.225267,2.683339,0.163934,51785319.0,592497895.21,2.160395,6.109344
000402.SZ,2010-01-19,6.306066,6.215902,6.322459,6.142131,6.219391,-0.914626,-0.057377,33340706.0,381226180.97,1.390917,6.273279
000402.SZ,2010-01-20,6.256885,5.888033,6.281475,5.863443,6.03991,-5.274679,-0.327869,36567444.0,410114495.03,1.525531,6.215902
000402.SZ,2010-01-21,5.888033,5.97,6.010984,5.765082,5.87378,1.392098,0.081967,28544975.0,314354729.7,1.190848,5.888033
000402.SZ,2010-01-22,5.847049,5.699508,5.89623,5.658525,5.768275,-4.530851,-0.270492,30081614.0,327405130.32,1.254953,5.97
000402.SZ,2010-01-25,5.715902,5.691312,5.830656,5.683115,5.747947,-0.143815,-0.008197,16273969.0,176720576.97,0.678922,5.699508
000402.SZ,2010-01-26,5.691312,5.412623,5.715902,5.330656,5.492263,-4.896736,-0.278689,25796051.0,272075090.48,1.076167,5.691312
000402.SZ,2010-01-27,5.412623,5.42082,5.584754,5.248689,5.408957,0.151437,0.008197,22008061.0,229885796.09,0.918139,5.412623
000402.SZ,2010-01-28,5.379836,5.535574,5.576557,5.306066,5.459034,2.116914,0.114754,20829333.0,218845917.96,0.868964,5.42082
000402.SZ,2010-01-29,5.44541,5.461803,5.715902,5.412623,5.569998,-1.332662,-0.07377,21757749.0,231545907.18,0.877086,5.535574
000402.SZ,2010-02-01,5.39623,5.527377,5.617541,5.191312,5.354118,1.200588,0.065574,27405198.0,284428239.78,1.104743,5.461803
000402.SZ,2010-02-02,5.527377,5.429016,5.666721,5.429016,5.568747,-1.779518,-0.098361,22735853.0,241920191.76,0.916515,5.527377
000402.SZ,2010-02-03,5.437213,5.650328,5.699508,5.166721,5.500494,4.076456,0.221311,36779432.0,388287909.02,1.482631,5.429016
000402.SZ,2010-02-04,5.617541,5.633934,5.797869,5.543771,5.684238,-0.290133,-0.016393,41444956.0,446833397.89,1.670705,5.650328
000402.SZ,2010-02-05,5.453607,5.379836,5.535574,5.314262,5.432451,-4.510141,-0.254098,20622205.0,216000886.87,0.83131,5.633934
000402.SZ,2010-02-08,5.39623,5.297869,5.39623,5.248689,5.314987,-1.523601,-0.081967,11933368.0,123282236.72,0.481051,5.379836
000402.SZ,2010-02-09,5.265082,5.289672,5.363443,5.240492,5.306412,-0.154717,-0.008197,9738518.0,100505619.91,0.392574,5.297869
000402.SZ,2010-02-10,5.379836,5.44541,5.453607,5.306066,5.378004,2.944184,0.155738,12520249.0,130307806.24,0.504709,5.289672
000402.SZ,2010-02-11,5.44541,5.510984,5.642131,5.412623,5.549491,1.204203,0.065574,17505940.0,185860199.97,0.705689,5.44541
000402.SZ,2010-02-12,5.560164,5.584754,5.617541,5.51918,5.587798,1.338608,0.07377,10409490.0,111003815.42,0.419621,5.510984
000402.SZ,2010-02-22,5.576557,5.47,5.576557,5.461803,5.506813,-2.054774,-0.114754,10616959.0,112167231.18,0.427985,5.584754
000402.SZ,2010-02-23,5.453607,5.330656,5.461803,5.273279,5.326878,-2.547427,-0.139344,15458638.0,159925655.8,0.62316,5.47
000402.SZ,2010-02-24,5.256885,5.42082,5.42082,5.232295,5.330888,1.691423,0.090164,31494736.0,325979454.71,1.269598,5.330656
000402.SZ,2010-02-25,5.44541,5.666721,5.683115,5.437213,5.601834,4.536245,0.245902,40291847.0,430350669.38,1.624222,5.42082
000402.SZ,2010-02-26,5.666721,5.601148,5.683115,5.543771,5.629438,-1.157173,-0.065574,20882755.0,223748568.24,0.841814,5.666721
000402.SZ,2010-03-01,5.576557,5.691312,5.724098,5.486394,5.599394,1.60974,0.090164,29566560.0,315707605.89,1.19187,5.601148
000402.SZ,2010-03-02,5.666721,5.822459,5.847049,5.633934,5.752718,2.304347,0.131148,42710567.0,464046726.31,1.721724,5.691312
000402.SZ,2010-03-03,5.822459,5.724098,5.822459,5.625738,5.706578,-1.689332,-0.098361,24868356.0,268792735.88,1.002479,5.822459
000402.SZ,2010-03-04,5.707705,5.478197,5.888033,5.453607,5.688658,-4.295902,-0.245902,37725042.0,406931064.26,1.52075,5.724098
000402.SZ,2010-03-05,5.47,5.44541,5.543771,5.412623,5.467802,-0.598498,-0.032787,17646829.0,185597320.79,0.711369,5.478197
000402.SZ,2010-03-08,5.478197,5.560164,5.650328,5.453607,5.559365,2.107355,0.114754,16886553.0,179487605.77,0.680721,5.44541
000402.SZ,2010-03-09,5.625738,5.814262,5.953607,5.535574,5.813404,4.56998,0.254098,54998682.0,601628007.1,2.217075,5.560164
000402.SZ,2010-03-10,5.822459,5.707705,5.863443,5.666721,5.753475,-1.83269,-0.106557,21027359.0,228479904.58,0.847643,5.814262
000402.SZ,2010-03-11,5.691312,5.715902,5.847049,5.625738,5.737218,0.143608,0.008197,16642508.0,180504749.07,0.670883,5.707705
000402.SZ,2010-03-12,5.683115,5.543771,5.740492,5.527377,5.619016,-3.011443,-0.172131,15316869.0,163918068.92,0.617445,5.715902
000402.SZ,2010-03-15,5.527377,5.429016,5.601148,5.379836,5.466647,-2.069965,-0.114754,14825626.0,155904932.35,0.597642,5.543771
000402.SZ,2010-03-16,5.453607,5.49459,5.535574,5.379836,5.462159,1.207839,0.065574,10319096.0,108458177.42,0.415977,5.429016
000402.SZ,2010-03-17,5.51918,5.691312,5.707705,5.49459,5.62967,3.580273,0.196721,17771140.0,190414171.52,0.71638,5.49459
000402.SZ,2010-03-18,5.715902,5.806066,5.961803,5.658525,5.85877,2.016303,0.114754,45062120.0,495426410.39,1.816518,5.691312
000402.SZ,2010-03-19,5.838853,5.871639,5.986394,5.765082,5.880444,1.129401,0.065574,24342792.0,268275625.63,0.981293,5.806066
000402.SZ,2010-03-22,5.888033,5.847049,5.912623,5.781475,5.828175,-0.418796,-0.02459,15665852.0,171650327.93,0.631513,5.871639
000402.SZ,2010-03-23,5.822459,5.715902,5.822459,5.683115,5.740487,-2.24297,-0.131148,17064724.0,185152147.86,0.687903,5.847049
000402.SZ,2010-03-24,5.732295,5.715902,5.797869,5.699508,5.740934,0.0,0.0,11868140.0,128775720.08,0.478422,5.715902
000402.SZ,2010-03-25,5.707705,5.502787,5.707705,5.47,5.561569,-3.728454,-0.213115,17689304.0,188067617.3,0.713081,5.715902
000402.SZ,2010-03-26,5.51918,5.633934,5.683115,5.49459,5.609589,2.383293,0.131148,14779948.0,158002049.5,0.595801,5.502787
000402.SZ,2010-03-29,5.699508,5.855246,5.92082,5.666721,5.827847,3.928187,0.221311,31109669.0,340855352.41,1.254075,5.633934
000402.SZ,2010-03-30,5.855246,5.879836,5.929016,5.806066,5.867063,0.419968,0.02459,25673385.0,282520624.16,1.034931,5.855246
000402.SZ,2010-03-31,5.904426,5.871639,5.97,5.830656,5.892507,-0.139404,-0.008197,20706603.0,228506855.02,0.834713,5.879836
000402.SZ,2010-04-01,5.89623,6.117541,6.158525,5.89623,6.056542,4.187955,0.245902,43282635.0,486305554.14,1.744785,5.871639
000402.SZ,2010-04-02,6.150328,6.322459,6.379836,6.142131,6.286106,3.34968,0.204918,50423795.0,580662714.57,2.032655,6.117541
000402.SZ,2010-04-06,6.379836,6.150328,6.39623,6.076557,6.184284,-2.722535,-0.172131,43748557.0,498358468.42,1.763567,6.322459
000402.SZ,2010-04-07,6.142131,5.978197,6.142131,5.904426,5.973092,-2.798731,-0.172131,33930791.0,377777707.98,1.367798,6.150328
000402.SZ,2010-04-08,5.97,5.797869,6.01918,5.748689,5.857413,-3.016426,-0.180328,39691388.0,436313277.12,1.600016,5.978197
000402.SZ,2010-04-09,5.781475,5.855246,5.89623,5.748689,5.818917,0.989623,0.057377,28686141.0,313989267.29,1.156379,5.797869
000402.SZ,2010-04-12,5.847049,5.510984,5.863443,5.388033,5.575189,-5.879553,-0.344262,60443681.0,643624264.82,2.436571,5.855246
000402.SZ,2010-04-13,5.49459,5.568361,5.625738,5.371639,5.5185,1.04114,0.057377,33638928.0,355871947.57,1.356033,5.510984
000402.SZ,2010-04-14,5.568361,5.601148,5.601148,5.461803,5.529715,0.588807,0.032787,20755532.0,219860281.83,0.836685,5.568361
000402.SZ,2010-04-15,5.527377,5.39623,5.535574,5.363443,5.412369,-3.658501,-0.204918,40948795.0,427902205.16,1.650704,5.601148
000402.SZ,2010-04-16,5.355246,5.314262,5.39623,5.183115,5.277233,-1.518972,-0.081967,30477025.0,313450826.66,1.228572,5.39623
000402.SZ,2010-04-19,5.125738,4.699508,5.125738,4.683115,4.953702,-11.568004,-0.614754,57102810.0,564753467.2,2.301896,5.314262
000402.SZ,2010-04-20,4.617541,4.347049,4.683115,4.224098,4.378797,-7.499913,-0.352459,55515272.0,510114968.21,2.2379,4.699508
000402.SZ,2010-04-21,4.347049,4.47,4.478197,4.297869,4.40166,2.828374,0.122951,29580182.0,272629432.58,1.192419,4.347049
000402.SZ,2010-04-22,4.453607,4.248689,4.453607,4.199508,4.274345,-4.95104,-0.221311,50634814.0,458817258.59,2.041161,4.47
000402.SZ,2010-04-23,4.232295,4.273279,4.322459,4.207705,4.263683,0.578771,0.02459,27218348.0,246279594.82,1.09721,4.248689
