CODES,DATES,SeqOpenPrice,SeqClosePrice,SeqHighPrice,SeqLowPrice,SeqAvgPrice,SeqRiseAndFall,SeqUpAndDowns,SeqTurnoverVolume,SeqTurnoverValue,SeqTurnoverRate,SeqPrevClosePrice
000030.SZ,2010-01-04,3.936315,3.822029,3.936315,3.779172,3.805629,-1.108885,-0.042857,779500.0,5968661.9,1.290891,3.864886
000030.SZ,2010-01-05,3.743458,3.936315,3.957744,3.743458,3.912271,2.990184,0.114286,1242963.0,9702990.64,2.058409,3.822029
000030.SZ,2010-01-06,3.893458,3.872029,3.950601,3.857744,3.893896,-1.633145,-0.064286,875745.0,6813833.89,1.450278,3.936315
000030.SZ,2010-01-07,3.857744,3.757744,3.893458,3.657744,3.793569,-2.951571,-0.114286,767648.0,5864950.44,1.271264,3.872029
000030.SZ,2010-01-08,3.693458,3.764886,3.807744,3.614886,3.715764,0.190084,0.007143,909019.0,6846029.25,1.505381,3.757744
000030.SZ,2010-01-11,3.800601,4.036315,4.036315,3.764886,4.01517,7.209476,0.271429,2954064.0,23485979.99,4.892079,3.764886
000030.SZ,2010-01-12,4.036315,4.064886,4.100601,3.893458,3.986108,0.707859,0.028571,2161147.0,17094045.14,3.578968,4.036315
000030.SZ,2010-01-13,3.907744,3.993458,4.064886,3.836315,3.973485,-1.757209,-0.071429,1080590.0,8528057.82,1.789511,4.064886
000030.SZ,2010-01-14,3.993458,3.993458,3.993458,3.993458,,0.0,0.0,0.0,0.0,,3.993458
000030.SZ,2010-01-15,4.014886,4.222029,4.229172,4.014886,4.172165,5.723647,0.228571,2455615.0,20062842.34,4.066622,3.993458
000030.SZ,2010-01-18,4.229172,4.250601,4.479172,4.222029,4.351254,0.676723,0.028571,1686276.0,14199985.91,2.792558,4.222029
000030.SZ,2010-01-19,4.214886,4.172029,4.322029,4.136315,4.198732,-1.848478,-0.078571,1077399.0,8842626.38,1.784227,4.250601
000030.SZ,2010-01-20,4.193458,4.057744,4.322029,4.050601,4.179136,-2.739331,-0.114286,1632100.0,13350496.07,2.70284,4.172029
000030.SZ,2010-01-21,4.050601,4.050601,4.172029,3.993458,4.067924,-0.17603,-0.007143,1260062.0,10111055.28,2.086726,4.057744
000030.SZ,2010-01-22,4.050601,3.843458,4.050601,3.779172,3.897914,-5.11388,-0.207143,830596.0,6467218.33,1.375509,4.050601
000030.SZ,2010-01-25,3.864886,3.879172,3.950601,3.707744,3.842166,0.929223,0.035714,611681.0,4714953.81,1.012975,3.843458
000030.SZ,2010-01-26,3.864886,3.686315,3.943458,3.600601,3.731888,-4.971606,-0.192857,666400.0,5033853.5,1.103592,3.879172
000030.SZ,2010-01-27,3.622029,3.522029,3.707744,3.464886,3.551979,-4.456638,-0.164286,744799.0,5438469.81,1.233425,3.686315
000030.SZ,2010-01-28,3.522029,3.586315,3.657744,3.464886,3.546188,1.825246,0.064286,635133.0,4632547.47,1.051812,3.522029
000030.SZ,2010-01-29,3.586315,3.529172,3.686315,3.522029,3.576106,-1.593359,-0.057143,637252.0,4674694.07,1.055321,3.586315
000030.SZ,2010-02-01,3.393458,3.272029,3.486315,3.272029,3.300243,-7.286209,-0.257143,1503800.0,10450656.99,2.490368,3.529172
000030.SZ,2010-02-02,3.400601,3.136315,3.400601,3.093458,3.271273,-4.14771,-0.135714,1034200.0,7145226.79,1.712687,3.272029
000030.SZ,2010-02-03,3.157744,3.250601,3.307744,3.072029,3.191936,3.643949,0.114286,1023793.0,6959610.7,1.695453,3.136315
000030.SZ,2010-02-04,3.250601,3.372029,3.400601,3.129172,3.326394,3.735573,0.121429,802990.0,5609777.11,1.329792,3.250601
000030.SZ,2010-02-05,3.300601,3.379172,3.450601,3.193458,3.335767,0.211827,0.007143,1145898.0,8020407.46,1.897665,3.372029
000030.SZ,2010-02-08,3.372029,3.386315,3.464886,3.343458,3.380248,0.211379,0.007143,524090.0,3700864.43,0.867919,3.379172
000030.SZ,2010-02-09,3.407744,3.386315,3.436315,3.336315,3.396126,0.0,0.0,315402.0,2234224.13,0.522322,3.386315
000030.SZ,2010-02-10,3.429172,3.636315,3.636315,3.429172,3.611829,7.382656,0.25,721465.0,5328537.97,1.194782,3.386315
000030.SZ,2010-02-11,3.764886,3.900601,3.900601,3.657744,3.889202,7.267954,0.264286,1238000.0,9624263.06,2.05019,3.636315
000030.SZ,2010-02-12,3.929172,4.179172,4.179172,3.929172,4.163087,7.141757,0.278571,1732305.0,14131244.83,2.868784,3.900601
000030.SZ,2010-02-22,4.336315,4.264886,4.450601,4.143458,4.270602,2.050987,0.085714,2226086.0,18494325.97,3.68651,4.179172
000030.SZ,2010-02-23,4.286315,4.214886,4.336315,4.100601,4.175685,-1.172364,-0.05,1875186.0,15329866.44,3.105402,4.264886
000030.SZ,2010-02-24,4.207744,4.279172,4.450601,4.193458,4.297093,1.525206,0.064286,1659860.0,13851680.93,2.748812,4.214886
000030.SZ,2010-02-25,4.286315,4.250601,4.364886,4.179172,4.239911,-0.667686,-0.028571,1046480.0,8649193.79,1.733024,4.279172
000030.SZ,2010-02-26,4.207744,4.193458,4.264886,4.136315,4.207072,-1.344348,-0.057143,1244631.0,10229696.38,2.061172,4.250601
000030.SZ,2010-03-01,4.193458,4.486315,4.486315,4.157744,4.318258,6.983667,0.292857,2843585.0,23814227.43,4.70912,4.193458
000030.SZ,2010-03-02,4.486315,4.607744,4.764886,4.407744,4.599143,2.706644,0.121429,2967560.0,26019444.78,4.914429,4.486315
000030.SZ,2010-03-03,4.593458,4.522029,4.700601,4.464886,4.572491,-1.860223,-0.085714,1249642.0,10910181.83,2.06947,4.607744
000030.SZ,2010-03-04,4.457744,4.422029,4.572029,4.336315,4.438702,-2.211397,-0.1,1151758.0,9839862.27,1.907369,4.522029
000030.SZ,2010-03-05,4.550601,4.443458,4.550601,4.393458,4.441695,0.484587,0.021429,573181.0,4899282.75,0.949217,4.422029
000030.SZ,2010-03-08,4.407744,4.429172,4.536315,4.336315,4.45495,-0.3215,-0.014286,537953.0,4608153.55,0.890877,4.443458
000030.SZ,2010-03-09,4.364886,4.364886,4.443458,4.322029,4.381643,-1.451416,-0.064286,516855.0,4374380.89,0.855938,4.429172
000030.SZ,2010-03-10,4.336315,4.372029,4.593458,4.264886,4.422699,0.163644,0.007143,510350.0,4348660.7,0.845165,4.364886
000030.SZ,2010-03-11,4.322029,4.672029,4.672029,4.322029,4.642853,6.861802,0.3,2933776.0,25902759.47,4.858481,4.372029
000030.SZ,2010-03-12,4.729172,4.443458,4.757744,4.436315,4.569133,-4.892337,-0.228571,2326758.0,20303161.78,3.853228,4.672029
000030.SZ,2010-03-15,4.300601,4.400601,4.564886,4.300601,4.410271,-0.9645,-0.042857,769474.0,6543252.24,1.274288,4.443458
000030.SZ,2010-03-16,4.400601,4.464886,4.536315,4.400601,4.457225,1.460839,0.064286,755404.0,6473264.08,1.250987,4.400601
000030.SZ,2010-03-17,4.472029,4.572029,4.636315,4.400601,4.507327,2.399677,0.107143,1560776.0,13484195.02,2.584724,4.464886
000030.SZ,2010-03-18,4.550601,4.486315,4.579172,4.443458,4.489256,-1.874754,-0.085714,1020580.0,8791396.0,1.690132,4.572029
000030.SZ,2010-03-19,4.450601,4.514886,4.529172,4.443458,4.487342,0.636857,0.028571,479815.0,4131896.8,0.794598,4.486315
000030.SZ,2010-03-22,4.522029,4.472029,4.550601,4.407744,4.480054,-0.949241,-0.042857,875281.0,7528497.48,1.449509,4.514886
000030.SZ,2010-03-23,4.472029,4.386315,4.479172,4.314886,4.403811,-1.916675,-0.085714,1099551.0,9340129.3,1.820912,4.472029
000030.SZ,2010-03-24,4.379172,4.350601,4.450601,4.336315,4.379907,-0.814221,-0.035714,742741.0,6284353.4,1.230016,4.386315
000030.SZ,2010-03-25,4.422029,4.350601,4.450601,4.322029,4.379004,0.0,0.0,850663.0,7196408.33,1.408741,4.350601
000030.SZ,2010-03-26,4.350601,4.386315,4.472029,4.350601,4.418319,0.820905,0.035714,698930.0,5951253.07,1.157463,4.350601
000030.SZ,2010-03-29,4.386315,4.686315,4.686315,4.386315,4.676003,6.839454,0.3,3664957.0,32528558.33,6.069353,4.386315
000030.SZ,2010-03-30,4.629172,4.786315,4.972029,4.629172,4.783691,2.133873,0.1,3096797.0,27952702.24,4.796775,4.686315
000030.SZ,2010-03-31,4.836315,4.700601,4.907744,4.636315,4.715839,-1.79082,-0.085714,1382000.0,12343103.0,2.140645,4.786315
000030.SZ,2010-04-01,4.700601,4.714886,4.836315,4.679172,4.757365,0.303913,0.014286,1078201.0,9692454.9,1.670076,4.700601
000030.SZ,2010-04-02,4.714886,4.843458,4.907744,4.693458,4.764886,2.726925,0.128571,1454598.0,13091381.2,2.253095,4.714886
000030.SZ,2010-04-06,4.843458,5.122029,5.143458,4.843458,5.058775,5.751499,0.278571,2587457.0,24351705.29,4.007834,4.843458
000030.SZ,2010-04-07,5.107744,5.422029,5.457744,5.107744,5.360642,5.857054,0.3,2813399.0,27667126.95,4.357806,5.122029
000030.SZ,2010-04-08,5.479172,5.350601,5.479172,5.150601,5.327765,-1.317377,-0.071429,1685214.0,16494925.65,2.610307,5.422029
000030.SZ,2010-04-09,5.250601,5.622029,5.693458,5.243458,5.628891,5.072862,0.271429,2031554.0,20741366.5,3.14677,5.350601
000030.SZ,2010-04-12,5.686315,5.864886,5.907744,5.636315,5.809134,4.319742,0.242857,2284780.0,23903245.05,3.539003,5.622029
000030.SZ,2010-04-13,5.900601,5.872029,6.000601,5.486315,5.735816,0.12179,0.007143,2728528.0,28265642.85,4.226345,5.864886
000030.SZ,2010-04-14,5.836315,5.943458,6.122029,5.693458,5.936302,1.216421,0.071429,1786770.0,19011200.94,2.767612,5.872029
000030.SZ,2010-04-15,6.043458,6.007744,6.107744,5.886315,5.987107,1.081621,0.064286,1403370.0,15031648.28,2.173746,5.943458
000030.SZ,2010-04-16,6.007744,6.007744,6.007744,6.007744,,0.0,0.0,0.0,0.0,,6.007744
000030.SZ,2010-04-19,6.157744,5.622029,6.157744,5.622029,5.820026,-6.420285,-0.385714,4443542.0,46555855.57,6.882811,6.007744
000030.SZ,2010-04-20,5.479172,5.257744,5.479172,5.257744,5.315824,-6.479612,-0.364286,2371686.0,23174485.88,3.673616,5.622029
000030.SZ,2010-04-21,5.257744,5.464886,5.507744,5.257744,5.397816,3.939767,0.207143,1426805.0,14105539.06,2.210045,5.257744
000030.SZ,2010-04-22,5.393458,5.107744,5.593458,5.107744,5.201499,-6.535229,-0.357143,3658043.0,35158394.53,5.666115,5.464886
000030.SZ,2010-04-23,5.122029,4.779172,5.122029,4.772029,4.832566,-6.43281,-0.328571,3074629.0,27962984.68,4.762437,5.107744
000030.SZ,2010-04-26,4.779172,5.100601,5.100601,4.586315,4.895956,6.725612,0.321429,3195075.0,29341963.61,4.949002,4.779172
000030.SZ,2010-04-27,5.100601,4.950601,5.250601,4.764886,5.002972,-2.94083,-0.15,3198597.0,29853528.46,4.954457,5.100601
000030.SZ,2010-04-28,4.922029,4.822029,5.050601,4.772029,4.879688,-2.597087,-0.128571,1719748.0,15754133.84,2.663799,4.950601
000030.SZ,2010-04-29,4.943458,4.772029,5.000601,4.757744,4.856468,-1.036908,-0.05,1534159.0,14004131.26,2.376331,4.822029
000030.SZ,2010-04-30,4.772029,4.843458,4.900601,4.679172,4.749073,1.496818,0.071429,962661.0,8642636.9,1.491111,4.772029
000030.SZ,2010-05-04,4.764886,4.957744,5.122029,4.764886,4.956401,2.359589,0.114286,1336401.0,12385926.01,2.070014,4.843458
000030.SZ,2010-05-05,4.957744,5.079172,5.107744,4.907744,5.045665,2.449271,0.121429,1397229.0,13124298.37,2.164234,4.957744
000030.SZ,2010-05-06,5.122029,5.322029,5.414886,5.079172,5.393688,4.781432,0.242857,4837596.0,47797005.13,7.49318,5.079172
000030.SZ,2010-05-07,5.229172,5.586315,5.586315,5.122029,5.398047,4.965882,0.264286,3309457.0,32718697.95,5.126174,5.322029
000030.SZ,2010-05-10,5.593458,5.464886,5.907744,5.222029,5.611693,-2.173679,-0.121429,4555590.0,46401095.56,7.056368,5.586315
000030.SZ,2010-05-11,5.479172,5.122029,5.543458,5.107744,5.282837,-6.27382,-0.342857,2303583.0,22402646.72,3.568128,5.464886
000030.SZ,2010-05-12,5.136315,4.864886,5.193458,4.786315,4.880105,-5.020332,-0.257143,1674951.0,15344739.11,2.59441,5.122029
000030.SZ,2010-05-13,4.822029,5.050601,5.093458,4.786315,4.975933,3.817443,0.185714,1859038.0,17280624.37,2.879551,4.864886
000030.SZ,2010-05-14,5.050601,5.157744,5.336315,4.993458,5.130591,2.121388,0.107143,2379636.0,22635066.32,3.58655,5.050601
000030.SZ,2010-05-17,5.193458,4.814886,5.372029,4.814886,5.060495,-6.647425,-0.342857,6180043.0,58178007.46,9.314465,5.157744
000030.SZ,2010-05-18,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-05-19,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-05-20,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-05-21,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-05-24,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-05-25,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-05-26,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-05-27,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-05-28,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-05-31,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-01,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-02,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-03,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-04,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-07,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-08,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-09,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-10,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-11,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-17,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-18,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-21,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-22,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-23,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-24,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-25,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-28,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-29,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-06-30,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-01,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-02,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-05,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-06,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-07,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-08,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-09,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-12,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-13,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-14,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-15,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-16,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-19,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-20,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-21,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-22,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-23,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-26,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-27,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-28,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-29,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-07-30,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
000030.SZ,2010-08-02,4.814886,4.814886,4.814886,4.814886,,0.0,0.0,0.0,0.0,,4.814886
