CODES,DATES,SeqOpenPrice,SeqClosePrice,SeqHighPrice,SeqLowPrice,SeqAvgPrice,SeqRiseAndFall,SeqUpAndDowns,SeqTurnoverVolume,SeqTurnoverValue,SeqTurnoverRate,SeqPrevClosePrice
000042.SZ,2010-01-04,9.360928,8.895928,9.360928,8.825928,9.034406,-3.681276,-0.34,2512032.0,55081212.07,1.049762,9.235928
000042.SZ,2010-01-05,8.825928,8.420928,8.890928,8.355928,8.539559,-5.339521,-0.475,5854403.0,122575167.76,2.446516,8.895928
000042.SZ,2010-01-06,8.410928,8.580928,8.790928,8.370928,8.588523,1.900028,0.16,3555168.0,74783631.79,1.485681,8.420928
000042.SZ,2010-01-07,8.470928,8.395928,8.715928,8.320928,8.497407,-2.155944,-0.185,3241276.0,67590190.88,1.354508,8.580928
000042.SZ,2010-01-08,8.400928,8.720928,8.720928,8.395928,8.585684,3.870924,0.325,4159095.0,87463735.2,1.738058,8.395928
000042.SZ,2010-01-11,8.760928,8.670928,8.810928,8.295928,8.517682,-0.573333,-0.05,4481690.0,93638225.75,1.872869,8.720928
000042.SZ,2010-01-12,8.570928,8.880928,8.915928,8.430928,8.727331,2.421886,0.21,3858812.0,82242108.07,1.612572,8.670928
000042.SZ,2010-01-13,8.735928,9.165928,9.455928,8.575928,9.08017,3.209124,0.285,10067581.0,221672863.48,4.207175,8.880928
000042.SZ,2010-01-14,9.150928,9.255928,9.315928,8.955928,9.140998,0.981897,0.09,4942345.0,109424205.22,2.065373,9.165928
000042.SZ,2010-01-15,9.385928,9.485928,9.815928,9.270928,9.564643,2.484894,0.23,6125327.0,140805517.56,2.559734,9.255928
000042.SZ,2010-01-18,9.470928,9.525928,9.715928,9.325928,9.547361,0.421677,0.04,4060949.0,93210415.28,1.697044,9.485928
000042.SZ,2010-01-19,9.695928,9.715928,10.010928,9.660928,9.815605,1.994556,0.19,5190930.0,121931584.57,2.169255,9.525928
000042.SZ,2010-01-20,9.770928,9.080928,9.870928,9.060928,9.35153,-6.53566,-0.635,5118495.0,115479410.61,2.138985,9.715928
000042.SZ,2010-01-21,9.035928,9.170928,9.270928,8.830928,9.087585,0.991088,0.09,3090254.0,68088534.26,1.291397,9.080928
000042.SZ,2010-01-22,8.895928,8.635928,9.020928,8.365928,8.650419,-5.833651,-0.535,3906691.0,82661604.87,1.63258,9.170928
000042.SZ,2010-01-25,8.470928,8.460928,8.670928,8.320928,8.508599,-2.026418,-0.175,1593439.0,33263582.84,0.665888,8.635928
000042.SZ,2010-01-26,8.470928,7.770928,8.560928,7.670928,8.01694,-8.155133,-0.69,2811300.0,55922446.73,1.174824,8.460928
000042.SZ,2010-01-27,7.795928,7.710928,7.970928,7.475928,7.703689,-0.772109,-0.06,2579643.0,49698166.8,1.078016,7.770928
