CODES,DATES,SeqOpenPrice,SeqClosePrice,SeqHighPrice,SeqLowPrice,SeqAvgPrice,SeqRiseAndFall,SeqUpAndDowns,SeqTurnoverVolume,SeqTurnoverValue,SeqTurnoverRate,SeqPrevClosePrice
000407.SZ,2010-01-04,6.59,6.597692,6.674615,6.520769,6.579295,0.586373,0.038462,7675852.0,67210397.58,1.547366,6.559231
000407.SZ,2010-01-05,6.613077,6.505385,6.651538,6.382308,6.469593,-1.399091,-0.092308,9974689.0,85916694.47,2.010786,6.597692
000407.SZ,2010-01-06,6.466923,6.459231,6.551538,6.39,6.478965,-0.709471,-0.046154,8832238.0,76183835.26,1.780481,6.505385
000407.SZ,2010-01-07,6.451538,6.536154,6.536154,6.313077,6.409023,1.190902,0.076923,11060600.0,94399238.1,2.229694,6.459231
000407.SZ,2010-01-08,6.513077,6.566923,6.651538,6.451538,6.544995,0.470754,0.030769,16656930.0,145106730.51,3.357852,6.536154
000407.SZ,2010-01-11,6.613077,6.397692,6.613077,6.374615,6.443048,-2.577018,-0.169231,11065748.0,94932629.34,2.230732,6.566923
000407.SZ,2010-01-12,6.428462,6.505385,6.513077,6.220769,6.374126,1.683299,0.107692,12270027.0,104164721.97,2.473501,6.397692
000407.SZ,2010-01-13,6.374615,6.29,6.466923,6.266923,6.343103,-3.310867,-0.215385,14634596.0,123648194.73,2.950172,6.505385
000407.SZ,2010-01-14,6.359231,6.482308,6.49,6.313077,6.436849,3.057356,0.192308,14135204.0,121151478.22,2.8495,6.29
000407.SZ,2010-01-15,6.482308,6.482308,6.482308,6.482308,,0.0,0.0,0.0,0.0,,6.482308
000407.SZ,2010-01-18,6.620769,6.69,6.743846,6.559231,6.653144,3.203987,0.207692,23881247.0,211398883.15,4.814194,6.482308
000407.SZ,2010-01-19,6.697692,6.697692,6.736154,6.636154,6.681802,0.114982,0.007692,14809840.0,131649734.61,2.985499,6.69
000407.SZ,2010-01-20,6.69,6.674615,6.874615,6.636154,6.758725,-0.34455,-0.023077,23370175.0,210082503.56,4.711167,6.697692
000407.SZ,2010-01-21,6.659231,6.89,6.920769,6.651538,6.805208,3.226922,0.215385,16916410.0,153089631.83,3.41016,6.674615
000407.SZ,2010-01-22,6.805385,6.628462,6.836154,6.466923,6.653917,-3.795914,-0.261538,15206704.0,134626360.37,3.065502,6.89
000407.SZ,2010-01-25,6.536154,6.328462,6.597692,6.320769,6.434224,-4.525937,-0.3,9559297.0,81899192.38,1.927048,6.628462
000407.SZ,2010-01-26,6.366923,5.997692,6.366923,5.920769,6.099983,-5.226693,-0.330769,10990016.0,89381550.89,2.215465,6.328462
000407.SZ,2010-01-27,5.982308,5.959231,6.097692,5.936154,6.017764,-0.641272,-0.038462,5517441.0,44283493.13,1.112255,5.997692
000407.SZ,2010-01-28,6.005385,5.982308,6.036154,5.882308,5.970245,0.387247,0.023077,5086059.0,40506996.16,1.025293,5.959231
000407.SZ,2010-01-29,5.974615,6.013077,6.074615,5.928462,6.028835,0.514337,0.030769,5066763.0,40739235.77,1.021403,5.982308
000407.SZ,2010-02-01,5.974615,5.843846,5.99,5.728462,5.839465,-2.814379,-0.169231,6334091.0,49369835.25,1.276882,6.013077
000407.SZ,2010-02-02,5.851538,5.836154,5.974615,5.828462,5.916775,-0.131631,-0.007692,4625485.0,36517314.17,0.932446,5.843846
000407.SZ,2010-02-03,5.859231,5.943846,5.943846,5.613077,5.797248,1.845262,0.107692,9007353.0,69711715.15,1.815782,5.836154
000407.SZ,2010-02-04,5.905385,5.951538,6.028462,5.836154,5.930706,0.129416,0.007692,6911293.0,54688494.77,1.39324,5.943846
000407.SZ,2010-02-05,5.843846,5.928462,6.059231,5.782308,5.929504,-0.387747,-0.023077,6896683.0,54562112.65,1.390295,5.951538
000407.SZ,2010-02-08,5.928462,6.043846,6.082308,5.928462,6.019891,1.946283,0.115385,6164472.0,49493674.07,1.242689,5.928462
000407.SZ,2010-02-09,6.028462,6.013077,6.082308,5.974615,6.012104,-0.5091,-0.030769,3747505.0,30050251.51,0.755455,6.043846
000407.SZ,2010-02-10,6.051538,6.028462,6.059231,5.959231,5.998267,0.255853,0.015385,3790354.0,30325662.21,0.764093,6.013077
000407.SZ,2010-02-11,6.028462,5.997692,6.051538,5.99,6.025592,-0.510399,-0.030769,3012524.0,24209456.9,0.607291,6.028462
000407.SZ,2010-02-12,6.020769,6.043846,6.082308,5.997692,6.037231,0.769527,0.046154,5026478.0,40470188.63,1.013282,5.997692
000407.SZ,2010-02-22,6.043846,5.997692,6.051538,5.974615,6.013593,-0.76365,-0.046154,4206694.0,33740505.9,0.848023,6.043846
000407.SZ,2010-02-23,5.99,5.943846,5.997692,5.843846,5.896744,-0.897781,-0.053846,5088656.0,40041450.45,1.025816,5.997692
000407.SZ,2010-02-24,5.89,6.105385,6.105385,5.866923,6.035731,2.717743,0.161538,8845012.0,71197488.23,1.783056,5.943846
000407.SZ,2010-02-25,6.105385,6.228462,6.243846,6.097692,6.181851,2.015875,0.123077,9342311.0,76975099.39,1.883306,6.105385
000407.SZ,2010-02-26,6.19,6.228462,6.313077,6.151538,6.252092,0.0,0.0,7349503.0,61226645.43,1.481578,6.228462
000407.SZ,2010-03-01,6.266923,6.297692,6.351538,6.259231,6.315684,1.111523,0.069231,8117248.0,68293567.59,1.636347,6.228462
000407.SZ,2010-03-02,6.343846,6.39,6.397692,6.243846,6.312381,1.465738,0.092308,8975741.0,75477858.39,1.80941,6.297692
000407.SZ,2010-03-03,6.39,6.474615,6.497692,6.328462,6.424933,1.324184,0.084615,13174680.0,112714822.35,2.655869,6.39
000407.SZ,2010-03-04,6.528462,6.266923,6.713077,6.243846,6.506158,-3.207794,-0.207692,15946631.0,138113861.92,3.214663,6.474615
000407.SZ,2010-03-05,6.274615,6.29,6.359231,6.228462,6.29499,0.368234,0.023077,8207943.0,68835811.08,1.65463,6.266923
000407.SZ,2010-03-08,6.382308,6.605385,6.743846,6.313077,6.554539,5.014064,0.315385,18922365.0,165076845.05,3.814538,6.29
000407.SZ,2010-03-09,6.59,6.505385,6.59,6.451538,6.505034,-1.513916,-0.1,9577434.0,82936210.28,1.930704,6.605385
000407.SZ,2010-03-10,6.528462,6.397692,6.566923,6.374615,6.452321,-1.655433,-0.107692,6385892.0,54861306.74,1.287325,6.505385
000407.SZ,2010-03-11,6.428462,6.559231,6.636154,6.382308,6.555035,2.524949,0.161538,18077757.0,157720204.46,3.644275,6.397692
000407.SZ,2010-03-12,6.505385,6.336154,6.559231,6.320769,6.414905,-3.400962,-0.223077,11519944.0,98407703.69,2.322293,6.559231
000407.SZ,2010-03-15,6.313077,6.182308,6.343846,6.136154,6.215384,-2.428068,-0.153846,5938493.0,49188531.98,1.197134,6.336154
000407.SZ,2010-03-16,6.174615,6.259231,6.259231,6.136154,6.202569,1.244245,0.076923,3968782.0,32807298.21,0.800062,6.182308
