stock,avg_volume
000725.SZ.csv,394845777.7212
601288.SH.csv,265005918.4637437
601816.SH.csv,249425124.16949153
601668.SH.csv,201671137.1036
601988.SH.csv,197351779.7348
000100.SZ.csv,162685852.4496
600050.SH.csv,159318729.5572
601398.SH.csv,159136035.4552
600010.SH.csv,152564320.6336
601818.SH.csv,148957400.2644804
601899.SH.csv,147932487.8272
600016.SH.csv,145351883.964
600030.SH.csv,140039687.0104
601989.SH.csv,135711866.82
600795.SH.csv,129410648.3248
600028.SH.csv,128090281.8756
601328.SH.csv,116041988.5964
601658.SH.csv,103052141.6
601162.SH.csv,99971659.62362637
601916.SH.csv,99243594.92631578
601166.SH.csv,97680658.294
000709.SZ.csv,93833206.7324
600837.SH.csv,91855459.8292
600048.SH.csv,91040503.2992
603993.SH.csv,90996850.02020754
601939.SH.csv,90228305.7388
601766.SH.csv,88626624.4004
600000.SH.csv,88371291.3616
003816.SZ.csv,88187987.25806452
600968.SH.csv,87789182.74242425
600221.SH.csv,86424935.7716
002024.SZ.csv,85666610.312
601390.SH.csv,84842214.0868
000002.SZ.csv,84586668.206
601901.SH.csv,83210815.34201801
601618.SH.csv,82182628.0648
000629.SZ.csv,80940653.39990817
601099.SH.csv,80751681.8748
002797.SZ.csv,80275864.94577685
688009.SH.csv,79380041.95555556
601600.SH.csv,78909118.8044
601319.SH.csv,78852231.33139534
601985.SH.csv,78739760.77514793
601990.SH.csv,77896278.83518931
000001.SZ.csv,75291821.9052
600036.SH.csv,75189252.9488
600839.SH.csv,74753606.2672
601975.SH.csv,73674433.71521036
601669.SH.csv,73038930.9622824
600029.SH.csv,70987989.4896
300059.SZ.csv,69529850.70257038
601236.SH.csv,66646923.39790576
600031.SH.csv,65297028.48
000166.SZ.csv,64341620.43990573
601377.SH.csv,63140108.40630397
600019.SH.csv,62741315.2648
000157.SZ.csv,61792633.948
601108.SH.csv,61415707.85454545
600157.SH.csv,60901001.2876
601696.SH.csv,60243688.94444445
600868.SH.csv,59860239.5532
601186.SH.csv,58957041.002
601318.SH.csv,58154358.5536
601138.SH.csv,58065542.451327436
601106.SH.csv,57974265.01212611
000630.SZ.csv,57824693.388
600115.SH.csv,57336901.71
601077.SH.csv,56900056.73913044
601066.SH.csv,56692571.24494382
601698.SH.csv,56190208.38265306
000063.SZ.csv,55219284.3444
601857.SH.csv,54733450.5224
600022.SH.csv,53813032.3884
601688.SH.csv,53801761.56650446
000413.SZ.csv,53753417.5108
601169.SH.csv,53529795.8236
600025.SH.csv,52734277.84656084
601998.SH.csv,51582501.3648
601006.SH.csv,50823514.8944
600808.SH.csv,50512495.742
601225.SH.csv,50351292.963036306
600705.SH.csv,50168118.41693635
000425.SZ.csv,49401270.1648
002939.SZ.csv,49321462.4373259
000783.SZ.csv,49156760.8648
600219.SH.csv,48879508.53
600111.SH.csv,47952157.2744
600307.SH.csv,47782273.1492
000750.SZ.csv,47423646.616
300821.SZ.csv,47375397.36
000839.SZ.csv,47207748.7464
601860.SH.csv,47141353.695512824
600567.SH.csv,46700093.4944
600383.SH.csv,46462989.6212
600208.SH.csv,46241277.5864
002340.SZ.csv,45749263.55510861
601881.SH.csv,45546713.15903308
600516.SH.csv,45397450.974
600256.SH.csv,44837160.9128
601018.SH.csv,44232573.88802756
601333.SH.csv,44066627.188
601118.SH.csv,43906526.214190684
600919.SH.csv,43811721.58980044
000069.SZ.csv,43722932.3104
002945.SZ.csv,43392272.754966885
601866.SH.csv,43381239.3172
600108.SH.csv,43183015.326
601375.SH.csv,43057339.95
601992.SH.csv,42531203.171839856
601800.SH.csv,42490993.568458416
601111.SH.csv,42227561.5612
000778.SZ.csv,42184607.4228
000735.SZ.csv,41627286.4928
600018.SH.csv,41413700.1504
601555.SH.csv,41402584.3878758
601211.SH.csv,41384700.38822526
601598.SH.csv,41347732.80398671
601718.SH.csv,41294895.12042553
000667.SZ.csv,41290674.61
600089.SH.csv,41043045.0332
600015.SH.csv,41027110.608
300315.SZ.csv,40962023.53830228
600166.SH.csv,40862409.5016
002958.SZ.csv,40853506.254826255
000825.SZ.csv,40811035.4508
002600.SZ.csv,40372241.221230626
601878.SH.csv,40296189.740524784
600352.SH.csv,40216708.1708
600909.SH.csv,40158902.41147741
601117.SH.csv,40154199.72046456
600503.SH.csv,39846855.0688
000651.SZ.csv,39838780.4516
600023.SH.csv,39796108.507133596
600887.SH.csv,39702561.3184
600583.SH.csv,39074769.49
600886.SH.csv,39028224.6428
000776.SZ.csv,38646724.0308
601212.SH.csv,38371225.65245478
600109.SH.csv,38179304.5092
002673.SZ.csv,38006578.53044376
000598.SZ.csv,37944319.9012
600100.SH.csv,37939237.4768
002131.SZ.csv,37929499.79
601880.SH.csv,37873186.99780509
000009.SZ.csv,37437721.6732
600489.SH.csv,37413917.7844
601009.SH.csv,36920432.936
600282.SH.csv,36562593.4992
600601.SH.csv,36479099.8016
002966.SZ.csv,36448953.34502924
002027.SZ.csv,36304746.118
600518.SH.csv,36297433.6736
601919.SH.csv,36176097.2268
601933.SH.csv,36155695.265521795
600958.SH.csv,36009980.534733444
600008.SH.csv,35996248.244
000983.SZ.csv,35989482.9912
600688.SH.csv,35833091.3016
600635.SH.csv,35755508.5912
002195.SZ.csv,35731878.6904
600863.SH.csv,35344106.1828
002500.SZ.csv,35173025.640645444
002185.SZ.csv,34969579.8656
002456.SZ.csv,34849311.4573972
601216.SH.csv,34393993.265709154
601918.SH.csv,34002234.0792
600703.SH.csv,33636911.1252
600928.SH.csv,33442671.760869566
000751.SZ.csv,33398294.612300683
002506.SZ.csv,33017924.649598394
600027.SH.csv,32604437.7752
000807.SZ.csv,32583736.7924
000060.SZ.csv,32489980.0892
688396.SH.csv,32348050.85714286
000933.SZ.csv,32268611.8048
601872.SH.csv,32133078.3056
002926.SZ.csv,32131587.639097743
002839.SZ.csv,31741536.366878983
000717.SZ.csv,31443589.1528
601168.SH.csv,31079725.3136
600169.SH.csv,31056448.9904
601727.SH.csv,30979021.0504
603077.SH.csv,30814186.75586354
000402.SZ.csv,30723350.1932
600497.SH.csv,30620396.172
600711.SH.csv,30593099.0356
601298.SH.csv,30357017.316666666
600585.SH.csv,30305100.1176
601000.SH.csv,30213550.448319327
001979.SZ.csv,30203429.976099428
000066.SZ.csv,30119866.4892
000932.SZ.csv,29619147.9768
000338.SZ.csv,29615493.9728
000897.SZ.csv,29523586.5828
601068.SH.csv,29518312.86005089
002067.SZ.csv,29513621.4056
000830.SZ.csv,29463097.8504
600170.SH.csv,29384248.8416
002936.SZ.csv,29368934.86842105
002610.SZ.csv,29217589.85199241
600804.SH.csv,29193870.9064
600460.SH.csv,29193799.1068
600755.SH.csv,29153253.5548
600369.SH.csv,29042762.3868
300088.SZ.csv,28899883.452390853
002202.SZ.csv,28893246.7732
000563.SZ.csv,28772417.6628
600606.SH.csv,28732341.7676
000898.SZ.csv,28691966.2372
600348.SH.csv,28629832.5248
601198.SH.csv,28525365.586454183
601788.SH.csv,28513620.3616
002736.SZ.csv,28478921.643687066
601699.SH.csv,28362248.5076
002948.SZ.csv,28337159.87128713
000683.SZ.csv,28275373.2548
000333.SZ.csv,28216897.861336663
000728.SZ.csv,28202859.7972
000727.SZ.csv,28183227.936
600522.SH.csv,28091670.3284
600158.SH.csv,28057365.9484
600039.SH.csv,28041752.8364
000793.SZ.csv,28037185.8972
002385.SZ.csv,28022633.14033648
000858.SZ.csv,27942698.8052
601601.SH.csv,27908651.1536
601615.SH.csv,27865913.47986577
000559.SZ.csv,27862008.0592
002463.SZ.csv,27823549.707836457
600017.SH.csv,27799465.572
601519.SH.csv,27597274.10848214
600999.SH.csv,27588074.3736
601636.SH.csv,27555023.408250354
000930.SZ.csv,27552387.8612
000625.SZ.csv,27469736.08
601608.SH.csv,27418403.349181194
600104.SH.csv,27378820.4976
000686.SZ.csv,27196790.9824
600667.SH.csv,27170120.3924
600415.SH.csv,27150569.0808
601179.SH.csv,27096214.815068495
002146.SZ.csv,27040374.7572
600879.SH.csv,26903158.2464
600690.SH.csv,26887325.8908
600820.SH.csv,26855116.5992
600110.SH.csv,26839364.22
601898.SH.csv,26832539.0276
600989.SH.csv,26730177.442477874
000816.SZ.csv,26666897.5284
000656.SZ.csv,26625443.6924
600252.SH.csv,26576185.726
600187.SH.csv,26566663.1528
601088.SH.csv,26541725.7604
600797.SH.csv,26398457.3712
600900.SH.csv,26244478.802
600584.SH.csv,26218013.2644
600255.SH.csv,26211216.9348
600569.SH.csv,26054990.1156
600528.SH.csv,26032163.614
688222.SH.csv,26019133.0
600737.SH.csv,25947913.8356
000970.SZ.csv,25815103.3892
000768.SZ.csv,25573007.4828
000012.SZ.csv,25530067.6664
600873.SH.csv,25468006.8864
000680.SZ.csv,25340080.8656
600160.SH.csv,25280315.1288
600300.SH.csv,25256908.8324
002129.SZ.csv,25202573.7172
600881.SH.csv,25032337.6048
000875.SZ.csv,24976977.2608
000758.SZ.csv,24956589.6444
000016.SZ.csv,24907641.1712
600125.SH.csv,24899436.6824
601229.SH.csv,24897280.040816326
600362.SH.csv,24890125.5344
601128.SH.csv,24850958.089430895
600409.SH.csv,24789544.7776
002505.SZ.csv,24752448.327074237
300017.SZ.csv,24747386.0136
600425.SH.csv,24742892.1404
600143.SH.csv,24691317.9632
600410.SH.csv,24674699.2612
000937.SZ.csv,24666344.4936
600901.SH.csv,24656444.125240847
002142.SZ.csv,24623825.5804
600063.SH.csv,24588937.746
600220.SH.csv,24489343.1768
002008.SZ.csv,24437541.632
600789.SH.csv,24277782.7928
000652.SZ.csv,24277500.1172
000031.SZ.csv,24275157.2848
